Session Name,Charter,Areas,Strategy Type
Acceptance of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Acceptance of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Acceptance
Acceptance of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Acceptance of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Acceptance
Acceptance of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Acceptance of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Acceptance
Acceptance of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Acceptance of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO, DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Acceptance
Exploration & Analysis of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Exploration & Analysis of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Exploration & Analysis
Exploration & Analysis of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Exploration & Analysis of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Exploration & Analysis
Exploration & Analysis of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Exploration & Analysis of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Exploration & Analysis
Exploration & Analysis of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Exploration & Analysis of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO, DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Exploration & Analysis
Bug Validation of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Bug Validation of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Bug Validation
Bug Validation of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Bug Validation of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Bug Validation
Bug Validation of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Bug Validation of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Bug Validation
Bug Validation of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Bug Validation of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO, DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Bug Validation
Final Validation of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Final Validation of DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,DR-2-014-968 Mobistar - MVNO - Ability to launch eDialog from B2B portal,Final Validation
Final Validation of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Final Validation of DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,DR-2-015-890 Port - Mobistar - MaTMa - Export Case Search Results to Excel,Final Validation
Final Validation of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Final Validation of DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,DR-2-014-964 Mobistar - MVNO - B2B Portal shall provide information about the case creator,Final Validation
Final Validation of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Final Validation of  DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO, DR-2-014-949 - Mobistar - MVNO - Enhance CTI integration to support MVNO,Final Validation
